test_comment,test_index,Timestamp,PSU_FB_U_VDC,PSU_FB_I_AMP,PSU_FB_W_WATT,PSU_CMD_U_VDC,PSU_CMD_I_AMP,PSU_CMD_OUTPUT,LCR_PRIMARY,LCR_SECONDARY,UV_R_mOhm,UW_R_mOhm,VW_R_mOhm,UV_L_µH,UW_L_µH,VW_L_µH,U_U_VDC,V_U_VDC,W_U_VDC,U_I_AMP,V_I_AMP,W_I_AMP,PWM_FB_DC_%,PWM_FB_VDC,PWM_FB_Hz,PWM_CMD_DC_%,PWM_CMD_VDC,PWM_CMD_Hz,DO_RELAY_U_LCR_A,DO_RELAY_V_LCR_A,DO_RELAY_V_LCR_B,DO_RELAY_W_LCR_B,DIFF_UV_UW_L_µH,DIFF_UV_VW_L_µH,DIFF_UW_VW_L_µH,DIFF_UV_UW_R_mOhm,DIFF_UV_VW_R_mOhm,DIFF_UW_VW_R_mOhm,DIFF_UV_U_VDC,DIFF_UW_U_VDC,DIFF_VW_U_VDC
Test Initialized,0,3708652526.668624,0.860074,3.896065,3.350904,0.000000,0.000000,0.000000,3.021972,5.845359,0.000000,0.000000,0.000000,3.021972,0.000000,0.000000,26.115297,23.472985,17.561725,5.719599,4.200328,0.497747,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.021972,3.021972,0.000000,0.000000,0.000000,0.000000,2.642312,8.553572,5.911260
Connect Motor to UVW Terminals,1,3708652528.088400,9.099589,3.988329,36.292152,0.000000,0.000000,0.000000,1.773908,9.417543,0.000000,0.000000,0.000000,1.773908,0.000000,0.000000,-47.313869,-49.982424,-53.472887,-28.734827,-28.974799,-29.883413,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.773908,1.773908,0.000000,0.000000,0.000000,0.000000,2.668555,6.159017,3.490463
Preparing to measure phase resistance,2,3708652529.294341,2.360867,6.423011,15.163877,0.000000,0.000000,0.000000,3.202474,2.537296,0.000000,0.000000,0.000000,3.202474,0.000000,0.000000,-47.371855,-43.631239,-40.269794,-20.356906,-17.805555,-15.909073,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.202474,3.202474,0.000000,0.000000,0.000000,0.000000,-3.740616,-7.102061,-3.361445
Set LCR to measure resistance,3,3708652529.393827,1.188697,4.463765,5.306064,0.000000,0.000000,0.000000,4.670539,6.384222,0.000000,0.000000,0.000000,4.670539,0.000000,0.000000,-45.195411,-40.379121,-37.545457,-16.370525,-14.274129,-12.818348,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.670539,4.670539,0.000000,0.000000,0.000000,0.000000,-4.816289,-7.649954,-2.833665
Preparing to measure resistance between U and V,4,3708652530.001282,6.352837,6.872059,43.657074,0.000000,0.000000,0.000000,4.842698,1.268402,4.842698,0.000000,0.000000,4.670539,0.000000,0.000000,-14.999715,-8.721679,-6.903999,-0.254612,2.880965,5.754087,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.670539,4.670539,0.000000,4.842698,4.842698,0.000000,-6.278036,-8.095716,-1.817680
Disconnect all LCR Relays,5,3708652530.001282,6.352837,6.872059,43.657074,0.000000,0.000000,0.000000,4.842698,1.268402,4.842698,0.000000,0.000000,4.670539,0.000000,0.000000,-14.999715,-8.721679,-6.903999,-0.254612,2.880965,5.754087,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.670539,4.670539,0.000000,4.842698,4.842698,0.000000,-6.278036,-8.095716,-1.817680
Wait 2 seconds for relays to settle,6,3708652533.015526,2.302968,5.185339,11.941670,0.000000,0.000000,0.000000,1.472121,2.285573,1.472121,0.000000,0.000000,4.670539,0.000000,0.000000,18.586401,15.935005,9.372218,1.854051,-0.497550,-3.045414,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.670539,4.670539,0.000000,1.472121,1.472121,0.000000,2.651396,9.214182,6.562786
Connect LCR to U and V,7,3708652533.015526,2.302968,5.185339,11.941670,0.000000,0.000000,0.000000,1.472121,2.285573,1.472121,0.000000,0.000000,4.670539,0.000000,0.000000,18.586401,15.935005,9.372218,1.854051,-0.497550,-3.045414,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.670539,4.670539,0.000000,1.472121,1.472121,0.000000,2.651396,9.214182,6.562786
Wait 2 seconds for relays to settle,8,3708652536.032845,0.939172,5.471275,5.138470,0.000000,0.000000,0.000000,1.715595,1.077447,1.715595,0.000000,0.000000,4.670539,0.000000,0.000000,-26.526906,-20.614079,-16.391588,-5.951859,-2.539393,-0.083230,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,4.670539,4.670539,0.000000,1.715595,1.715595,0.000000,-5.912826,-10.135317,-4.222491
Tare the LCR Meter,9,3708652536.032845,0.939172,5.471275,5.138470,0.000000,0.000000,0.000000,1.715595,1.077447,1.715595,0.000000,0.000000,4.670539,0.000000,0.000000,-26.526906,-20.614079,-16.391588,-5.951859,-2.539393,-0.083230,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,4.670539,4.670539,0.000000,1.715595,1.715595,0.000000,-5.912826,-10.135317,-4.222491
Measure U V Resistance,10,3708652537.039189,3.293247,3.860470,12.713478,0.000000,0.000000,0.000000,3.258485,-4.920100,3.258485,0.000000,0.000000,4.670539,0.000000,0.000000,29.953732,33.770830,40.431728,22.775249,24.806456,25.418376,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,4.670539,4.670539,0.000000,3.258485,3.258485,0.000000,-3.817098,-10.477996,-6.660898
Preparing to measure resistance between U and W,11,3708652538.552034,3.002848,7.258600,21.796475,0.000000,0.000000,0.000000,-3.139898,-3.769458,-3.139898,0.000000,0.000000,4.670539,0.000000,0.000000,51.770657,49.200864,46.050542,20.905071,19.444310,18.289474,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,4.670539,4.670539,0.000000,-3.139898,-3.139898,0.000000,2.569792,5.720115,3.150323
Disconnect all LCR Relays,12,3708652538.652661,3.233888,0.554598,1.793507,0.000000,0.000000,0.000000,-0.296840,-0.640880,-0.296840,0.000000,0.000000,4.670539,0.000000,0.000000,47.408963,44.038027,39.901202,20.199721,18.113540,15.437459,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,4.670539,4.670539,0.000000,-0.296840,-0.296840,0.000000,3.370936,7.507761,4.136825
