test_comment,test_index,Timestamp,PSU_FB_U_VDC,PSU_FB_I_AMP,PSU_FB_W_WATT,PSU_CMD_U_VDC,PSU_CMD_I_AMP,PSU_CMD_OUTPUT,LCR_PRIMARY,LCR_SECONDARY,UV_R_mOhm,UW_R_mOhm,VW_R_mOhm,UV_L_µH,UW_L_µH,VW_L_µH,U_U_VDC,V_U_VDC,W_U_VDC,U_I_AMP,V_I_AMP,W_I_AMP,PWM_FB_DC_%,PWM_FB_VDC,PWM_FB_Hz,PWM_CMD_DC_%,PWM_CMD_VDC,PWM_CMD_Hz,DO_RELAY_U_LCR_A,DO_RELAY_V_LCR_A,DO_RELAY_V_LCR_B,DO_RELAY_W_LCR_B,DIFF_UV_UW_L_µH,DIFF_UV_VW_L_µH,DIFF_UW_VW_L_µH,DIFF_UV_UW_R_mOhm,DIFF_UV_VW_R_mOhm,DIFF_UW_VW_R_mOhm,DIFF_UV_U_VDC,DIFF_UW_U_VDC,DIFF_VW_U_VDC
Test Initialized,0,3708643039,9.512198,6.740486,64.116843,0,0,0,3.113869,0.879263,0,0,0,0,0,0,40.761654,46.257058,46.811581,25.841972,27.856672,28.1708,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.495403,-6.049927,-0.554524
Set Power Supply Voltage Setpoint,1,3708643039,9.512198,6.740486,64.116843,0,0,0,3.113869,0.879263,0,0,0,0,0,0,40.761654,46.257058,46.811581,25.841972,27.856672,28.1708,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.495403,-6.049927,-0.554524
Set Power Supply Current Limit,2,3708643039,9.512198,6.740486,64.116843,0,0,0,3.113869,0.879263,0,0,0,0,0,0,40.761654,46.257058,46.811581,25.841972,27.856672,28.1708,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.495403,-6.049927,-0.554524
Set Power Supply Output Enabled,3,3708643039,9.512198,6.740486,64.116843,0,0,0,3.113869,0.879263,0,0,0,0,0,0,40.761654,46.257058,46.811581,25.841972,27.856672,28.1708,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.495403,-6.049927,-0.554524
Set PWM Duty Cycle to EWP,4,3708643039,9.512198,6.740486,64.116843,0,0,0,3.113869,0.879263,0,0,0,0,0,0,40.761654,46.257058,46.811581,25.841972,27.856672,28.1708,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.495403,-6.049927,-0.554524
Dwell 15 seconds,5,3708643054,1.411912,0.582187,0.821997,10,5,1,4.592206,4.232252,0,0,0,0,0,0,-19.838334,-22.454819,-28.491914,-17.472998,-18.34798,-20.133973,0,0,Inf,100,10,25,0,0,0,0,0,0,0,0,0,0,2.616484,8.653579,6.037095
Display a message to the user,6,3708643056,3.762005,5.384337,20.255903,10,5,1,9.127108,1.196474,0,0,0,0,0,0,-52.50481,-51.14199,-49.790307,-23.215981,-22.414928,-19.74911,0,0,Inf,100,10,25,0,0,0,0,0,0,0,0,0,0,-1.36282,-2.714503,-1.351683
Connect LCR relays to UV configuration (0=UV | 1=UW | 2=VW),7,3708643056,3.762005,5.384337,20.255903,10,5,1,9.127108,1.196474,0,0,0,0,0,0,-52.50481,-51.14199,-49.790307,-23.215981,-22.414928,-19.74911,0,0,Inf,100,10,25,0,0,0,0,0,0,0,0,0,0,-1.36282,-2.714503,-1.351683
Disconnect LCR relays from all phases,8,3708643056,3.762005,5.384337,20.255903,10,5,1,9.127108,1.196474,0,0,0,0,0,0,-52.50481,-51.14199,-49.790307,-23.215981,-22.414928,-19.74911,0,0,Inf,100,10,25,0,0,0,0,0,0,0,0,0,0,-1.36282,-2.714503,-1.351683
Tares the present reading on the LCR meter,9,3708643056,3.762005,5.384337,20.255903,10,5,1,9.127108,1.196474,0,0,0,0,0,0,-52.50481,-51.14199,-49.790307,-23.215981,-22.414928,-19.74911,0,0,Inf,100,10,25,0,0,0,0,0,0,0,0,0,0,-1.36282,-2.714503,-1.351683
Configures the LCR for R/L reading (0=Resistance | 1=Inductance),10,3708643056,3.762005,5.384337,20.255903,10,5,1,9.127108,1.196474,0,0,0,0,0,0,-52.50481,-51.14199,-49.790307,-23.215981,-22.414928,-19.74911,0,0,Inf,100,10,25,0,0,0,0,0,0,0,0,0,0,-1.36282,-2.714503,-1.351683
,11,3708643056,3.762005,5.384337,20.255903,10,5,1,9.127108,1.196474,0,0,0,0,0,0,-52.50481,-51.14199,-49.790307,-23.215981,-22.414928,-19.74911,0,0,Inf,100,10,25,0,0,0,0,0,0,0,0,0,0,-1.36282,-2.714503,-1.351683
